Seed,LR,BatchSize,Epochs,WeightDecay,Best_Val_AUC,Test_AUC_at_Best_Val
0,0.0001,32,10,0,0.8041035048856144,0.755884401453699
1,0.0001,32,10,0,0.8063494159609815,0.8062496561696962
2,0.0001,32,10,0,0.7910878589134823,0.7566633643300678
