Seed,LR,BatchSize,Epochs,WeightDecay,Best_Val_RMSE,Test_RMSE_at_Best_Val
0,0.0001,32,100,0,0.7238412321237865,0.7429604862157682
1,0.0001,32,100,0,0.7643490473621183,0.7409486129245757
2,0.0001,32,100,0,0.751870282547964,0.7442935414048173
