Seed,LR,BatchSize,Epochs,WeightDecay,Best_Val_RMSE,Test_RMSE_at_Best_Val
0,0.0001,32,150,0,0.9655501832090213,0.8946747983484512
1,0.0001,32,150,0,0.9440474466220617,0.8585451015805086
2,0.0001,32,150,0,0.9267920773888675,0.8544824735143571
