Seed,LR,BatchSize,Epochs,WeightDecay,Best_Val_AUC,Test_AUC_at_Best_Val
0,1e-05,32,20,0,0.7282051282051283,0.8370718135976353
1,1e-05,32,20,0,0.7413919413919414,0.8125543383759346
2,1e-05,32,20,0,0.7571428571428571,0.8054251434533125
