Seed,LR,BatchSize,Epochs,WeightDecay,Best_Val_AUC,Test_AUC_at_Best_Val
0,0.0001,32,100,0,0.7142646039133699,0.654307495868576
1,0.0001,32,100,0,0.7121173741885349,0.655118587609591
2,0.0001,32,100,0,0.7021449447248495,0.6485472746403148
