Seed,LR,BatchSize,Epochs,WeightDecay,Best_Val_AUC,Test_AUC_at_Best_Val
0,1e-05,32,100,0,0.8056442438105633,0.7554345329193862
1,1e-05,32,100,0,0.8136814119351762,0.7506225692570155
2,1e-05,32,100,0,0.8103939976137501,0.7307976703750277
